timestamps,TP9,AF7
1533058233,26.855,16.602
1533058233,18.066,13.672
1533058233,14.648,18.555
1533058233,16.113,21.973
1533058233,28.809,19.043
1533058233,20.996,13.672
1533058233,5.371,18.066
1533058233,6.836,22.949
1533058233,12.207,20.508
1533058233,27.832,20.02
1533058233,32.715,19.531
1533058233,26.367,22.461
1533058233,23.926,24.902
1533058233,22.949,24.902
1533058233,29.785,26.855
1533058233,38.086,30.762
1533058233,27.344,32.715
1533058233,16.602,30.273
1533058233,10.742,26.367
1533058233,20.508,25.391
1533058233,39.551,28.809
1533058233,26.367,30.273
1533058233,12.207,28.32
1533058233,13.184,28.809
1533058233,20.508,30.762
1533058233,32.715,32.715
1533058233,30.273,33.203
1533058233,17.578,31.25
1533058233,8.789,28.809
1533058233,17.578,30.762
1533058233,34.668,34.18
1533058233,31.738,35.645
1533058233,23.438,40.039
1533058233,14.16,42.48
1533058233,16.113,44.922
1533058233,28.32,45.41
1533058233,26.855,39.062
1533058233,18.555,38.574
1533058233,13.184,37.598
1533058233,15.137,36.621
1533058233,25.391,35.156
1533058233,28.809,29.785
1533058233,18.066,28.809
1533058233,5.859,33.691
1533058233,5.371,36.621
1533058233,23.926,35.645
1533058233,31.738,35.156
1533058233,22.461,38.086
1533058233,17.578,40.039
1533058233,18.555,36.133
1533058233,30.273,37.109
1533058233,39.062,43.945
1533058233,27.344,43.457
1533058233,13.184,40.527
1533058233,5.859,35.156
1533058233,19.043,31.738
1533058233,33.691,29.297
1533058233,23.926,24.414
1533058233,15.137,22.949
1533058233,10.742,23.926
1533058233,22.461,24.902
1533058233,37.598,26.855
1533058233,32.227,27.832
1533058233,26.855,29.297
1533058233,24.414,31.25
1533058233,31.25,25.879
1533058233,41.504,21.484
1533058233,29.297,26.855
1533058233,20.508,31.25
1533058233,16.113,29.785
1533058233,12.695,25.879
1533058233,31.25,27.344
1533058233,36.621,30.273
1533058233,17.578,30.762
1533058233,14.16,33.203
1533058233,25.391,37.109
1533058233,33.203,36.621
1533058233,28.809,32.227
1533058234,17.09,29.785
1533058234,9.766,27.832
1533058234,14.648,28.809
1533058234,33.203,31.738
1533058234,32.227,28.809
